sedametro,sedametroname,avg_test_all,avg_test_ecd,avg_test_nec,metro_or_micro,perurban,perell,perspeced,pernam,perasn,perhsp,perblk,perwht,perecd,totenrl,perbaplus,perunemp,perpoverty
12740,"Barre, VT",0.262479621,-0.141233785,0.472904523,Micro,0,0.28614154,11.073468,0.14237542,1.2729764,1.5706929,1.6317855,95.382172,34.060474,3534.7,39.019123,4.3904109,10.752649
12780,"Bartlesville, OK",0.146828672,-0.121354678,0.451149356,Micro,0,3.3940327,11.395611,20.056646,2.0273018,9.050293,4.8360667,64.029694,52.472218,3488.3,26.927101,5.0277014,14.015132
12820,"Bastrop, LA",-0.626477312,-0.698917046,-0.104585067,Micro,0,0.52504379,15.140923,0.056556724,0.23327763,0.80237919,67.177345,31.73044,86.708656,2031.5,12.223089,7.3550882,27.67378
12860,"Batavia, NY",0.10202643,-0.23848334,0.349111389,Micro,0,0.91026247,12.536803,0.14363812,0.82550317,4.3611207,3.5223608,91.147377,42.194916,3804.5,19.824362,5.6499696,11.274108
12900,"Batesville, AR",-0.07181162,-0.281252247,0.277386963,Micro,0,5.95755,17.313995,0.39266175,1.1402775,9.7869825,3.3869512,85.293129,61.975574,2758.3,16.761362,5.3337297,17.429682
12940,"Baton Rouge, LA",-0.197272372,-0.452053455,0.342732188,Metro,29.960854,2.3674784,10.647947,0.17134307,1.5198263,4.0242729,50.188236,44.096325,67.43837,55184.2,26.185638,6.5722628,16.57169
12980,"Battle Creek, MI",-0.271815282,-0.541336423,0.092952101,Metro,40.699966,2.9843924,12.940027,0.71783501,2.8771222,7.3095055,16.283827,72.811714,56.487602,9325,20.051012,8.7479286,16.551582
13020,"Bay City, MI",-0.127054398,-0.380018753,0.152104245,Metro,33.43261,0.92055714,14.845302,0.781726,0.83630544,6.3551397,3.3433464,88.683479,52.434349,6256.3,18.309389,8.1000805,13.827875
13060,"Bay City, TX",-0.182081763,-0.34670193,0.155122879,Micro,0,9.1294823,8.6750317,0.1471501,2.4375868,55.512047,11.024373,30.878845,67.364632,3166,15.30053,8.4370937,20.817034
13100,"Beatrice, NE",0.137446156,-0.145787862,0.361103167,Micro,0,0.22111399,20.60767,0.7382111,0.68319136,3.7375886,0.72837257,94.112633,44.090153,1313.2,18.866339,4.6886077,11.203502
13140,"Beaumont-Port Arthur, TX",-0.147945273,-0.358946175,0.16011348,Metro,41.056915,5.7343588,9.289814,0.54827052,2.731185,19.071472,28.513205,49.135868,59.174992,30908.45,17.051462,6.7027159,16.553108
13180,"Beaver Dam, WI",0.112759807,-0.15152393,0.289991904,Micro,0,3.631093,14.196646,0.42125577,0.70608813,9.6619377,1.4412174,87.769501,40.520432,4455.5,16.143217,4.8683739,8.1924562
13220,"Beckley, WV",-0.237249533,-0.41363778,0.106778336,Metro,11.899933,0.31554034,13.566663,0.10472181,0.57217133,0.98648506,7.8261809,90.510437,69.19236,8378.3,15.989458,7.0449047,18.031334
13260,"Bedford, IN",0.0203808,-0.194170539,0.236431279,Micro,0,0.21209256,19.716471,0.26079831,0.47931954,2.1360271,0.2437216,96.880135,49.338974,3174.6,13.908087,7.0889635,13.738531
13300,"Beeville, TX",-0.247457874,-0.372761674,0.09727522,Micro,0,1.9919528,9.8177595,0.23394278,0.52305388,79.069557,1.9844406,18.189005,72.957466,2367.4,9.903038,9.0558558,20.708113
13340,"Bellefontaine, OH",0.099611343,-0.188124349,0.317634215,Micro,0,0.29795358,15.718773,0.19861609,0.73853129,1.850101,1.8001398,95.412613,43.558426,3139.5,14.829042,7.1838155,13.320761
13380,"Bellingham, WA",0.118042059,-0.273239444,0.438553724,Metro,37.765377,5.9668193,13.584401,3.500668,4.1359534,17.017,1.6689119,73.677467,44.407925,12096.65,32.762394,6.9791903,15.213759
13420,"Bemidji, MN",0.005829649,-0.269440939,0.365935996,Micro,0,0.79247987,19.212542,34.024712,0.60461491,1.638597,1.1477826,62.584293,56.840031,3490.2,27.654409,8.6737919,18.421545
13460,"Bend-Redmond, OR",0.169096159,-0.134269434,0.496989025,Metro,46.1852,3.994565,13.475722,0.99990571,1.1198719,12.532644,0.66839492,84.679184,49.403656,11435.7,31.533455,6.0793128,9.8910236
13500,"Bennettsville, SC",-0.657896841,-0.728459123,-0.233107398,Micro,0,0.36098409,16.895004,5.5896053,0.44068527,0.88739908,59.960949,33.121361,84.679314,1932.8,8.6863127,13.169532,25.12916
13540,"Bennington, VT",0.023202813,-0.29832278,0.340383778,Micro,0,0.12052018,12.647116,0,0.63435596,1.1071616,1.1153622,97.14312,47.575806,1976.8,33.341503,5.0079017,11.292527
13620,"Berlin, NH-VT",0.070929353,-0.142389503,0.252074316,Micro,0,0.24927188,16.892635,0.25904176,0.51410002,1.9490815,0.5548265,96.722946,48.014275,2197.9,17.168604,5.8692374,12.864868
13660,"Big Rapids, MI",-0.157627937,-0.331123104,0.115816013,Micro,0,0.067602105,16.704777,2.0872724,0.80818021,1.9941674,4.1078191,91.002563,60.563522,2534.1,20.736017,9.9344797,20.541901
13700,"Big Spring, TX",-0.425586006,-0.681767474,-0.064347457,Micro,0,2.2928982,9.3011427,0.33280045,0.5961231,54.260834,4.915678,39.894566,58.377491,2763.4,11.740005,7.1112008,18.467018
13720,"Big Stone Gap, VA",0.161502262,-0.025394884,0.417183518,Micro,0,0.31056076,14.474993,0.071313158,0.38994184,0.89246529,2.190105,96.456177,58.031116,4179.8,16.913185,7.4783669,17.408342
13740,"Billings, MT",0.068731694,-0.249884877,0.281741983,Metro,64.112564,0.53570408,12.002488,6.4853697,0.77731538,7.4219332,1.4021689,83.913216,42.88208,11302.9,29.367498,3.8813341,10.578166
13780,"Binghamton, NY",-0.021217549,-0.368333663,0.342629666,Metro,16.182825,1.2520983,16.079622,0.27090448,2.7670619,4.7275929,8.0394306,84.195007,49.301697,15380.9,26.328182,6.4204679,14.789489
13820,"Birmingham-Hoover, AL",-0.185331427,-0.561300852,0.205003699,Metro,20.800587,2.742507,8.7955046,0.12980439,1.4692153,6.7378955,34.416061,57.247025,52.711552,81313.35,27.874834,6.9339471,14.266544
13900,"Bismarck, ND",0.060578845,-0.412440709,0.265619506,Metro,62.724102,1.8214152,12.283553,10.593287,0.8152281,2.0632589,1.7739527,84.754272,29.250299,7787.4,30.648029,2.7629349,9.0265055
13940,"Blackfoot, ID",-0.117001689,-0.374576146,0.190586989,Micro,0,10.092083,9.9099874,5.7424026,0.4158805,22.055779,0.51818991,71.267746,57.280167,4745.1,18.540493,5.2575955,13.931817
13980,"Blacksburg-Christiansburg-Radford, VA",0.154405923,-0.23985539,0.449524044,Metro,33.920902,1.4662479,12.743148,0.20514329,2.1407549,3.2984149,4.9718308,89.383858,43.722038,9180.3,30.869373,6.4658084,21.006969
14010,"Bloomington, IL",0.142735646,-0.394427215,0.441727391,Metro,35.246296,2.8646855,15.218838,0.27135277,5.6590462,6.9549971,11.463986,75.65062,35.630623,12161.1,31.410425,5.6857657,15.324847
14020,"Bloomington, IN",0.292928698,-0.13234892,0.562368914,Metro,49.866379,2.2920587,17.499239,0.3232286,3.6438155,3.991152,3.7061756,88.335625,38.523952,7580.5,34.954575,6.7369967,22.332266
14100,"Bloomsburg-Berwick, PA",0.301858857,-0.06144749,0.511690326,Metro,15.449958,0.63009232,17.014725,0.23224649,1.6419712,2.1533244,1.9696424,94.002815,36.705101,4400,22.192394,5.3623214,13.025772
14140,"Bluefield, WV-VA",-0.11818531,-0.29010066,0.227408788,Micro,0,0.37983224,14.827893,0.079696581,0.62530071,0.6992594,6.9007301,91.695015,66.57605,7014.55,16.813938,6.6206031,19.339634
14180,"Blytheville, AR",-0.398163643,-0.539373406,0.238074727,Micro,0,1.4948357,11.457211,0.11651251,0.62159759,5.2466211,45.223263,48.792004,81.243607,4082.5,11.903608,9.3557987,25.203695
14220,"Bogalusa, LA",-0.465787141,-0.545523251,0.019011868,Micro,0,1.0316782,17.908596,0.20712171,0.24316643,1.8938776,42.775391,54.880447,85.126564,3423.5,12.240085,11.163588,25.31464
14260,"Boise City, ID",0.067051845,-0.251815658,0.355320318,Metro,30.848043,6.0677505,9.8693972,0.5712108,2.0941784,18.989893,1.5553356,76.789383,51.195847,53648.45,29.346394,5.8728929,12.356147
14340,"Boone, IA",0.117192651,-0.156547736,0.271334973,Micro,0,0.80694818,14.264589,0.65605897,0.41374075,3.4432042,1.9916608,93.495331,36.174992,1707.1,22.047733,4.332036,10.110859
14380,"Boone, NC",0.385526584,-0.058084297,0.660780779,Micro,0.6671415,2.7992432,17.263523,0.15700342,1.2751349,7.8480101,1.7213496,88.998505,38.811028,2087.3,37.955772,6.9856615,24.465113
14420,"Borger, TX",-0.183602809,-0.378218182,0.013732006,Micro,0,5.4700537,10.796324,1.3335485,0.35671672,32.326382,2.7481406,63.23521,50.480618,1899.1,14.135079,5.7419472,15.364404
14454,"Boston, MA",0.375687537,-0.113568914,0.647023364,Metro,24.845518,7.2388468,16.847157,0.25846547,6.4771509,15.935689,15.691833,61.63686,35.804085,118115.4,34.693703,7.9161139,16.885914
14500,"Boulder, CO",0.47069308,-0.264718573,0.78957371,Metro,27.127155,9.860755,0,0.45262092,5.3084431,24.838404,1.0713166,68.329216,31.323957,10524.8,58.661034,5.4989266,12.624711
14540,"Bowling Green, KY",0.068854141,-0.229122024,0.474293133,Metro,36.645935,6.6065207,13.533505,0.1369607,4.0465536,7.4233918,7.9552846,80.437813,56.914448,11477.2,25.439444,6.0526977,17.986837
14580,"Bozeman, MT",0.386347392,-0.028126915,0.529408562,Micro,0,1.0457577,9.2095594,1.6470572,1.344592,4.5071354,0.85042995,91.650787,31.009653,5559.3,46.648701,3.8152299,13.015252
14620,"Bradford, PA",0.079737438,-0.154388925,0.327561068,Micro,0,0.14916895,17.113157,0.26556295,0.44838148,1.4198807,1.0851756,96.780998,49.534916,2757.9,17.011831,7.4857659,15.559344
14660,"Brainerd, MN",0.200973869,-0.115814562,0.50428128,Micro,0,0.10499322,18.681999,10.469406,0.57661992,1.2045132,1.207943,86.541519,48.799942,6180.6,22.70607,5.376379,11.766915
14700,"Branson, MO",0.085680156,-0.104254194,0.420174508,Micro,0,2.2789226,13.334225,0.8463009,0.93089509,6.5358319,1.2106571,90.476318,63.57478,5403,18.539803,6.8701782,14.746714
14720,"Breckenridge, CO",0.378749191,-0.187257738,0.682146292,Micro,0,21.38796,0,0.12927459,1.0362144,34.086933,0.70297408,64.044601,34.811466,773.1,37.700073,6.3375473,14.594668
14740,"Bremerton-Silverdale, WA",0.182031451,-0.177257804,0.40807785,Metro,27.109858,1.8006417,14.317128,1.98892,5.4130154,12.499195,3.0405364,77.058334,38.169449,16229.35,30.125233,6.5675707,9.3051386
14780,"Brenham, TX",-0.017782341,-0.316828465,0.348436466,Micro,0,10.027251,12.57401,0.13650148,1.5060438,29.875147,22.400616,46.081692,55.412163,2313.6,24.493391,6.4459758,15.460299
14820,"Brevard, NC",0.222908803,-0.04130294,0.573421389,Micro,0,1.9181076,13.197668,0.34314537,0.75426358,6.1780381,6.4333038,86.291245,56.639038,1747,30.112558,6.1009369,15.17285
14860,"Bridgeport-Stamford-Norwalk, CT",0.285547407,-0.414198754,0.624722328,Metro,46.495701,6.8775134,11.627069,0.17795998,5.4805279,23.355007,12.616244,58.370262,36.002678,66869.5,45.379822,6.9782472,8.1839943
15020,"Brookhaven, MS",-0.26319208,-0.506012631,0.049879166,Micro,0,0.26578525,11.990211,0.083368517,0.34201378,0.47633025,36.971169,62.127121,55.779884,2796,16.222204,8.0926466,21.058172
15060,"Brookings, OR",-0.243305902,-0.435428342,0.013984292,Micro,0,1.4184648,13.283134,4.5696335,0.91816026,13.660498,1.1115223,79.740181,57.387131,1053.9,21.15942,8.2246761,14.172363
15100,"Brookings, SD",0.214187474,-0.185007508,0.360472249,Micro,0,2.4811885,13.402308,1.9616479,3.3367655,3.6046679,1.5638392,89.533081,29.673418,1928.2,36.914803,3.846766,17.044888
15180,"Brownsville-Harlingen, TX",-0.107751341,-0.165882518,0.298172421,Metro,62.325485,23.123159,8.9513922,0.055938598,0.35027492,96.702682,0.20950237,2.6816013,87.183029,46043.9,16.081091,7.0814757,33.064766
15220,"Brownwood, TX",-0.073159214,-0.292810262,0.22922203,Micro,0,1.9262873,9.9458694,0.40401974,0.65057695,31.222376,4.2150054,63.508022,58.182663,3022.6,17.337946,4.3123598,16.095886
15260,"Brunswick, GA",-0.018332878,-0.25091377,0.498969692,Metro,28.38415,2.7483432,11.23374,0.23596407,1.163504,8.3065596,30.689383,59.604591,67.499283,8082.2,23.233063,6.1670799,17.528452
15340,"Bucyrus, OH",-0.074487047,-0.285425576,0.190855995,Micro,0,0.36419752,19.507063,0.070645355,0.50062895,1.4168091,0.91777414,97.094139,55.998154,3140.5,12.993704,7.3769612,13.475773
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",0.014592608,-0.427735194,0.388396172,Metro,35.299561,3.1733551,16.886169,1.3363538,3.3514574,7.0457058,19.116453,69.150032,47.892849,70780.4,29.258093,6.0975676,13.948759
15420,"Burley, ID",-0.109470614,-0.260104446,0.22366602,Micro,0,11.212519,9.8157473,0.5389359,0.29741704,39.061146,0.46650428,59.635998,68.779823,4291.4,14.787491,4.990026,15.831364
